wav_file,wav_path,start_time,end_time,duration_s,has_metar,n_adsb_pings,n_aircraft,aircraft_in_window
27.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\27.wav,2020-10-22 17:46:49.211136,2020-10-22 18:01:49.703084,900.491948,False,5290,19,"['BTQ875', 'FDY234', 'N1078U', 'N13337', 'N191ND', 'N35377', 'N391SC', 'N41548', 'N56987', 'N665H', 'N710ML', 'N7667C', 'N819CM', 'N891SP', 'N9642F', 'N96FE', 'N995WW', 'RQT10', 'VFR']"
28.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\28.wav,2020-10-22 18:01:56.097870,2020-10-22 18:16:56.265560,900.16769,False,5076,12,"['FDY234', 'N1452U', 'N2490M', 'N24TS', 'N53226', 'N567ND', 'N727RM', 'N819CM', 'N96FE', 'N995WW', 'RQT10', 'VFR']"
29.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\29.wav,2020-10-22 18:17:02.859052,2020-10-22 18:32:03.594665,900.735613,False,5359,15,"['JIA5652', 'N1078U', 'N13337', 'N1452U', 'N24TS', 'N425ZZ', 'N567ND', 'N600HJ', 'N63759', 'N665H', 'N6683S', 'N727RM', 'N8893C', 'RPA5596', 'VFR']"
3.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\3.wav,2020-10-22 11:53:33.138336,2020-10-22 11:57:39.273213,246.134877,False,411,3,"['MLN285', 'N248CG', 'N285DX']"
30.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\30.wav,2020-10-22 18:32:10.247138,2020-10-22 18:47:11.309557,901.062419,False,6334,16,"['N1078U', 'N13337', 'N306PP', 'N3330J', 'N43488', 'N5687P', 'N600HJ', 'N61398', 'N665H', 'N6683S', 'N688G', 'N727RM', 'N803JA', 'N819CM', 'N8893C', 'RPA5596']"
31.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\31.wav,2020-10-22 18:47:17.896738,2020-10-22 19:02:18.337762,900.441024,False,7038,18,"['FDY155', 'N1078U', 'N13337', 'N2313K', 'N3072E', 'N3330J', 'N43488', 'N53226', 'N554NG', 'N56987', 'N600HJ', 'N61398', 'N647NK', 'N6683S', 'N819CM', 'N824DM', 'N89549', 'NKS656']"
32.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\32.wav,2020-10-22 19:02:24.845746,2020-10-22 19:17:25.635161,900.789415,False,12560,26,"['FDY235', 'FDY5011', 'LXJ351', 'N2313K', 'N3072E', 'N326DS', 'N332RM', 'N3330J', 'N351FX', 'N43488', 'N474LF', 'N53226', 'N5356Y', 'N5687P', 'N56987', 'N5968W', 'N600HJ', 'N64297', 'N6683S', 'N819CM', 'N8412R', 'N87AG', 'N89549', 'N92141', 'N953LW', 'N9642F']"
33.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\33.wav,2020-10-22 19:17:32.300844,2020-10-22 19:32:32.622053,900.321209,False,11344,31,"['ASA412', 'FDY235', 'FDY5011', 'N18287', 'N191ND', 'N219TM', 'N306PP', 'N3072E', 'N326DS', 'N3330J', 'N33BB', 'N425ZZ', 'N53226', 'N532AS', 'N5356Y', 'N5687P', 'N56987', 'N5960W', 'N636RW', 'N64297', 'N6683S', 'N819CM', 'N81PA', 'N87AG', 'N8893C', 'N89549', 'N92141', 'N932SP', 'N9539B', 'RPA3586', 'VFR']"
34.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\34.wav,2020-10-22 19:32:39.229179,2020-10-22 19:47:39.548207,900.319028,False,6707,19,"['ASA412', 'FDY5011', 'N1452U', 'N18287', 'N191ND', 'N3330J', 'N33BB', 'N425ZZ', 'N46BW', 'N5356Y', 'N5960W', 'N819CM', 'N81PA', 'N87AG', 'N8893C', 'N932SP', 'PING89E3', 'SWA2482', 'VFR']"
35.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\35.wav,2020-10-22 19:47:46.042772,2020-10-22 19:54:19.618333,393.575561,False,1974,7,"['FDY5011', 'N1452U', 'N819CM', 'N87AG', 'N932SP', 'PING89E3', 'SWA2482']"
36.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\36.wav,2020-10-22 19:55:44.805765,2020-10-22 20:04:32.959515,528.15375,False,1047,3,"['N6108V', 'N819CM', 'N87AG']"
37.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\37.wav,2020-10-22 20:05:48.538399,2020-10-22 20:18:53.002636,784.464237,False,5373,20,"['AAL9783', 'EJA772', 'FDY335', 'JBU1685', 'N256ST', 'N339JB', 'N41548', 'N43488', 'N54BH', 'N56987', 'N600HJ', 'N647NK', 'N667AW', 'N772QS', 'N803JA', 'N87AG', 'N8893C', 'N92141', 'RPA5596', 'SKW5698']"
38.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\38.wav,2020-10-22 20:19:23.353054,2020-10-22 20:34:23.818580,900.465526,False,4823,18,"['AAL1551', 'EJA420', 'N1078U', 'N1851J', 'N2485D', 'N24TS', 'N256ST', 'N41548', 'N420QS', 'N43488', 'N53226', 'N5356Y', 'N54BH', 'N56987', 'N620UX', 'N776XF', 'N92141', 'SKW5698']"
39.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\39.wav,2020-10-22 20:34:30.618847,2020-10-22 20:49:30.792985,900.174138,False,6679,17,"['AAL1551', 'EJA618', 'N191ND', 'N2485D', 'N24TS', 'N41548', 'N43488', 'N53226', 'N5356Y', 'N54BH', 'N56987', 'N618QS', 'N8275D', 'N8580Z', 'N8991J', 'N92141', 'PITT60']"
40.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\40.wav,2020-10-22 20:49:37.575964,2020-10-22 21:04:38.262222,900.686258,False,7745,21,"['CAP3733', 'FDY301', 'MLN285', 'N1078U', 'N13337', 'N191ND', 'N2485D', 'N24TS', 'N2669X', 'N285DX', 'N43488', 'N53226', 'N54BH', 'N5687P', 'N8275D', 'N847UA', 'N8991J', 'N92141', 'N932SP', 'PITT60', 'UAL591']"
